time,"price",return,pecentage return
2014-07-14,"2,171.76",0.011056746,1.11%
2014-07-15,"2,174.98",0.001482668,0.15%
2014-07-16,"2,170.87",-0.001889673,-0.19%
2014-07-17,"2,157.07",-0.006356898,-0.64%
2014-07-18,"2,164.14",0.003277594,0.33%
2014-07-21,"2,166.30",0.000998087,0.10%
2014-07-22,"2,192.70",0.012186678,1.22%
2014-07-23,"2,197.83",0.002339581,0.23%
2014-07-24,"2,237.02",0.017831224,1.78%
2014-07-25,"2,260.45",0.010473755,1.05%
2014-07-28,"2,323.90",0.028069632,2.81%
2014-07-29,"2,331.37",0.003214424,0.32%
2014-07-30,"2,322.01",-0.004014807,-0.40%
2014-07-31,"2,350.25",0.012161877,1.22%
2014-08-01,"2,329.40",-0.008871397,-0.89%
2014-08-04,"2,375.62",0.019842019,1.98%
2014-08-05,"2,369.35",-0.002639311,-0.26%
2014-08-06,"2,363.22",-0.002587207,-0.26%
2014-08-07,"2,327.46",-0.015131896,-1.51%
2014-08-08,"2,331.13",0.001576826,0.16%
2014-08-11,"2,365.35",0.014679576,1.47%
2014-08-12,"2,357.05",-0.003508994,-0.35%
2014-08-13,"2,358.90",0.000784879,0.08%
2014-08-14,"2,335.95",-0.009729111,-0.97%
2014-08-15,"2,360.64",0.010569576,1.06%
2014-08-18,"2,374.56",0.005896706,0.59%
2014-08-19,"2,374.77",8.84374E-05,0.01%
2014-08-20,"2,366.14",-0.003634036,-0.36%
2014-08-21,"2,354.24",-0.005029288,-0.50%
2014-08-22,"2,365.36",0.004723393,0.47%
2014-08-25,"2,342.86",-0.009512294,-0.95%
2014-08-26,"2,324.09",-0.008011576,-0.80%
2014-08-27,"2,327.60",0.001510269,0.15%
2014-08-28,"2,311.28",-0.007011514,-0.70%
2014-08-29,"2,338.29",0.011686165,1.17%
2014-09-01,"2,355.32",0.0072831,0.73%
2014-09-02,"2,386.46",0.013221133,1.32%
2014-09-03,"2,408.84",0.009377907,0.94%
2014-09-04,"2,426.22",0.007215091,0.72%
2014-09-05,"2,449.26",0.009496253,0.95%
2014-09-09,"2,445.22",-0.001649478,-0.16%
2014-09-10,"2,432.43",-0.005230613,-0.52%
2014-09-11,"2,423.45",-0.003691781,-0.37%
2014-09-12,"2,438.36",0.006152386,0.62%
2014-09-15,"2,437.19",-0.000479831,-0.05%
2014-09-16,"2,388.77",-0.019867142,-1.99%
2014-09-17,"2,401.33",0.005257936,0.53%
2014-09-18,"2,408.66",0.003052475,0.31%
2014-09-19,"2,425.21",0.00687104,0.69%
2014-09-22,"2,378.92",-0.019087007,-1.91%
2014-09-23,"2,399.46",0.00863417,0.86%
2014-09-24,"2,441.86",0.017670643,1.77%
2014-09-25,"2,436.97",-0.002002572,-0.20%
2014-09-26,"2,437.20",9.43795E-05,0.01%
2014-09-29,"2,447.80",0.004349253,0.43%
2014-09-30,"2,450.99",0.001303211,0.13%
2014-10-08,"2,478.38",0.011175076,1.12%
2014-10-09,"2,481.96",0.001444492,0.14%
2014-10-10,"2,466.79",-0.006112105,-0.61%
2014-10-13,"2,454.95",-0.00479976,-0.48%
2014-10-14,"2,446.56",-0.003417585,-0.34%
2014-10-15,"2,463.87",0.00707524,0.71%
2014-10-16,"2,444.40",-0.007902203,-0.79%
2014-10-17,"2,441.73",-0.001092293,-0.11%
2014-10-20,"2,454.71",0.005315903,0.53%
2014-10-21,"2,433.39",-0.008685344,-0.87%
2014-10-22,"2,418.64",-0.006061503,-0.61%
2014-10-23,"2,395.94",-0.00938544,-0.94%
2014-10-24,"2,390.71",-0.002182859,-0.22%
2014-10-27,"2,368.83",-0.009152093,-0.92%
2014-10-28,"2,416.65",0.020187181,2.02%
2014-10-29,"2,451.38",0.014371134,1.44%
2014-10-30,"2,468.93",0.007159233,0.72%
2014-10-31,"2,508.33",0.01595833,1.60%
2014-11-03,"2,512.55",0.001682394,0.17%
2014-11-04,"2,513.17",0.000246761,0.02%
2014-11-05,"2,503.45",-0.003867625,-0.39%
2014-11-06,"2,506.07",0.001046556,0.10%
